2024-12-20T05:34:09.596Z,การแจ้งเตือนหายไป,undefined,K,AA003754
2024-12-20T05:33:45.832Z,แอพแจ้งให้ลบลงใหม่,undefined,faangfaang 🍀,AA003753
2024-12-20T05:31:51.939Z,เข้าใช้งาน Dschool ไ่ม่ได้,undefined,yuwadee jum,AA003752
2024-12-20T04:25:57.000Z,ขอ เคีลย pin นักเรียน,undefined,โกนินทร์,AA003745
2024-12-20T04:18:34.675Z,ครูสแกนไม่ติด,undefined,Ingrid,AA003744
2024-12-20T04:14:34.848Z,ติดตั้งแอพ Dschool ไม่ได้,undefined,yuwadee jum,AA003743
2024-12-20T03:57:14.190Z,แนะนำการเข้าประเมิณ sdq,undefined,สาว,AA003742
2024-12-20T03:11:41.081Z,เพิ่มคะแนนนักเรียน,undefined,Nice-ปากเกร็ด,AA003741
2024-12-20T02:34:39.838Z,ผู้ปกครองติด ใส่ pin,undefined,Solos,AA003740
2024-12-20T02:26:12.516Z,สอบถามการประเมิณ sdq,undefined,พิศิษฏา 👩‍🏫 พิ-สิด-ตา,AA003739
2024-12-20T02:22:35.737Z,นักเรียนลาออก,undefined,suwannapa,AA003738
2024-12-20T02:09:04.114Z,การแจ้งเตือนหาย,undefined,Kru Beer,AA003737
2024-12-20T02:05:54.610Z,ตั้งค่าที่ปรึกษา,undefined,oui#0807661259,AA003736
2024-12-20T01:58:35.373Z,นักเรียนแสกนติดเป็นคนอื่น,undefined,อานนท์,AA003735
2024-12-20T01:50:18.053Z,นักเรียนเข้าแอพ Dschool ไม่ได่,undefined,oui#0807661259,AA003734
2024-12-20T01:47:42.261Z,ตั้งค่าวันหยุด,undefined,Patchanok.R🌻,AA003733
2024-12-20T01:31:09.951Z,เพิ่มบุคลากร,undefined,PJ Peejay,AA003732
2024-12-20T01:23:32.119Z,ครูสแกนไม่ติด,undefined,Ingrid,AA003731
2024-12-20T01:13:58.606Z,ขอรูปภาพนักเรียน,undefined,ครูอุ้ม-เตรียมน้อม,AA003730
2024-12-20T01:06:35.108Z,ติดตั้งแอพ Dschool ไม่ได้,undefined,Nasipas-ศึกษานารี,AA003729
2024-12-20T01:00:05.136Z,แจ้งโรงเรียนหยุด,undefined,KHRU _ K U N G 624-นวมินกรุงเทพ,AA003728
2024-12-20T00:59:38.964Z,ครูเข้าแอพไม่พบรายชื่อนักเรียนในห้องปรึกษา,undefined,Kaopode-Piyapol-HWN-หอวังนน,AA003727
2024-12-19T10:00:39.250Z,นักเรียนสแกนไม่ติด,undefined,อานนท์,AA003723
2024-12-19T09:59:24.929Z,นักเรียนลาออก,undefined,Narumon-เทพศิริน,AA003722
2024-12-19T07:39:25.544Z,นักเรียนสแกนไม่ติด,undefined,Nice-ปากเกร็ด,AA003718
2024-12-19T07:00:27.053Z,คืนคะแนนนักเรียน,undefined,Nice-ปากเกร็ด,AA003716
2024-12-19T07:00:16.126Z,นักเรียนติดตั้งแอพ Dschool ไม่ได้,undefined,nokjip,AA003715
2024-12-19T06:41:40.614Z,เข้าระบบ Dschool ไม่ได้,undefined,💒พรรณทิพา🪩,AA003714
2024-12-19T05:58:30.903Z,ลบรายชื่อบุคลากร,undefined,Poon,AA003712
2024-12-19T05:25:42.000Z,เติมเงินไม่เข้า,undefined,🤗 เสาวภา✌แม่ปู🥛🍡💖,AA003708
2024-12-19T04:46:11.180Z,อินเตอร์เน็ตใช้งานไม่ได้,undefined,Tik428⏰,AA003705
2024-12-19T04:40:00.873Z,เว็บช้า,undefined,89 BORIBOON-บางมด,AA003704
2024-12-19T04:32:19.900Z,การแสดงผลผิดปรกติ,undefined,Oat Sikhares,AA003703
2024-12-19T04:20:34.585Z,ครูสแกนไม่ติด,undefined,Porntip.P🐰,AA003702
2024-12-19T03:18:57.281Z,ไฟตก ใชงานระบบไม่ได้,undefined,Tik428⏰,AA003699
2024-12-19T03:18:16.891Z,ไฟตก,undefined,aom-ลาดกระบัง,AA003698
2024-12-19T03:04:42.557Z,ลบคะแนนนักเรียน,undefined,Nice-ปากเกร็ด,AA003697
